level,intensity,snnr,snnr_std,sr,sr_std,sdi,sdi_std
1,3,2.132872417,0.711933612,0.344403618,0.07697778,12.27598123,0.87545984
2,3,2.116978089,0.701535354,0.34431639,0.076761888,12.5174265,0.916355812
3,3,2.118222212,0.697437712,0.343935571,0.076676581,12.55258901,0.919690851
4,3,2.113298925,0.69543721,0.343209659,0.076558474,12.587674,0.924309416
5,3,2.108202864,0.694141155,0.342751768,0.07649467,12.64504165,0.926462689
6,3,2.109674573,0.693885076,0.342767352,0.076500926,12.59639759,0.927020621
7,3,2.10767325,0.693606467,0.342565685,0.076482095,12.58836401,0.927590116
8,3,2.10618819,0.693483287,0.342422567,0.076473865,12.5912851,0.927831318
9,3,2.106033114,0.693337574,0.342288844,0.076472292,12.59280132,0.927865194
1,5,2.953822979,0.977791249,0.546331517,0.091583604,11.64613961,0.744488223
2,5,2.88885153,0.936162861,0.534785547,0.09000342,12.59703153,0.833041891
3,5,2.909149989,0.913527482,0.530030872,0.089116243,13.00556717,0.822671543
4,5,2.892435578,0.89550139,0.524185245,0.087994779,13.17953025,0.829851725
5,5,2.876517574,0.88267929,0.520812981,0.087186009,13.38127402,0.829247891
6,5,2.844053431,0.8765419,0.517255243,0.086747651,13.24273951,0.836192279
7,5,2.838904276,0.875576999,0.516820422,0.086688093,13.28864374,0.836308372
8,5,2.833690073,0.874840732,0.51633383,0.086675827,13.31148201,0.836393955
9,5,2.835586905,0.874711545,0.516236297,0.086671538,13.30765385,0.83631384
1,7,3.985444333,1.370298648,0.80436998,0.11687622,9.799336913,0.68026779
2,7,3.977272601,1.298233687,0.767298686,0.116063966,11.55179825,0.785945953
3,7,3.965600907,1.219913596,0.741154265,0.112161794,12.39053029,0.757762073
4,7,3.900317849,1.152676915,0.718949317,0.106916159,12.67344612,0.750198337
5,7,3.837982528,1.096526015,0.702861397,0.102876617,13.05695982,0.737642124
6,7,3.650701677,1.060019036,0.683313631,0.099356418,12.88721589,0.753763732
7,7,3.634606665,1.056164231,0.681291624,0.099070289,12.95126987,0.751504809
8,7,3.610360671,1.051791736,0.67876875,0.09888178,12.99170368,0.750703166
9,7,3.624230816,1.052959352,0.679730681,0.098972222,12.99169778,0.750868589
