level,intensity,snnr,std,sr,std,,
1,3,2.132872417,7.119336123,0.344403618,0.769777795,12.27598123,8.754598402
2,3,2.091982253,6.948966073,0.337358111,0.764897184,12.29570302,9.370968743
3,3,2.077711963,6.867925058,0.333311296,0.762581458,12.05993086,9.552612137
4,3,2.050291693,6.795377883,0.328851362,0.759119897,11.96499926,9.638512632
5,3,2.046433219,6.767785307,0.32775086,0.757632354,11.94147994,9.686679109
6,3,2.043215864,6.745469687,0.32664562,0.756864024,11.87096898,9.683795726
7,3,2.03436106,6.717560506,0.324201624,0.755405342,11.81735139,9.7080416
8,3,2.003584629,6.649898422,0.317503886,0.752272407,11.7373685,9.708108941
9,3,1.96362242,6.519293631,0.305033471,0.746851026,11.60450426,9.700684705
1,5,2.953822979,9.777912485,0.546331517,0.915836039,11.64613961,7.444882231
2,5,2.854533386,9.260124387,0.526416527,0.895192044,12.60293103,8.495135515
3,5,2.807227984,8.912421708,0.511512001,0.882039102,12.66370272,8.820983373
4,5,2.677770985,8.46129245,0.486690743,0.853745003,12.77424892,9.034204673
5,5,2.661854761,8.315530338,0.481730907,0.846279263,12.87324363,9.147086864
6,5,2.635282352,8.203280068,0.476876914,0.840613056,12.76342374,9.238975431
7,5,2.618989767,8.14779168,0.472763188,0.836867412,12.74317802,9.314834841
8,5,2.521619019,7.979664565,0.458247929,0.826316719,12.6362702,9.355200747
9,5,2.469191207,7.752896088,0.440278692,0.815416629,12.49247542,9.415091592
1,7,3.985444333,13.70298648,0.80436998,1.168762204,9.799336913,6.802677896
2,7,3.919750757,12.9003719,0.757235553,1.155873577,11.66590551,7.976674414
3,7,3.649509583,11.44770346,0.697085673,1.05982858,12.24423876,8.243579142
4,7,3.514863434,10.60516961,0.653433907,1.005301394,12.61149467,8.34076297
5,7,3.427758461,10.11445518,0.635318716,0.970844727,12.96904188,8.408100105
6,7,3.338674737,9.772478944,0.620266547,0.946232929,12.93945547,8.633970776
7,7,3.248666997,9.539047185,0.607444779,0.929124509,13.00467958,8.753509837
8,7,3.080135201,9.273250763,0.586262195,0.909978249,12.96391527,8.804870369
9,7,2.998190266,8.978839185,0.564751874,0.893811648,12.91053579,8.949896409
