level,intensity,snnr mean,snnr std,sr mean,sr std
1,5,2.953822979,9.777912485,0.546331517,0.915836039
2,5,2.88885153,9.361628609,0.534785547,0.900034202
3,5,2.909149989,9.135274823,0.530030872,0.891162433
4,5,2.892435578,8.955013901,0.524185245,0.879947788
5,5,2.876517574,8.826792901,0.520812981,0.871860086
6,5,2.844053431,8.765419003,0.517255243,0.867476506
7,5,2.838904276,8.755769987,0.516820422,0.866880927
8,5,2.833690073,8.748407316,0.51633383,0.866758268
9,5,2.835586905,8.747115446,0.516236297,0.866715383
1,8,7.811022616,26.17300253,1.279538012,2.489742246
2,8,7.901477965,25.82989653,1.225064157,2.458120745
3,8,7.981378568,25.37174427,1.193991396,2.438095276
4,8,6.344475445,20.13419627,1.003137481,1.871864384
5,8,6.179439097,19.51360355,0.970693984,1.82145179
6,8,4.140033286,11.62573253,0.76526982,1.071393344
7,8,4.132966425,11.59658653,0.763716844,1.068428581
8,8,4.091651764,11.51932141,0.75955106,1.064235496
9,8,4.111513783,11.54119404,0.760963477,1.065969465
1,12,8.518747563,34.99526722,1.735056366,2.866822975
2,12,8.563694965,34.88268371,1.6046008,2.839376039
3,12,10.10907568,30.10884134,1.540629214,2.815054417
4,12,10.20037595,29.63466832,1.5029045,2.800715075
5,12,10.5750556,29.13805424,1.495584599,2.796205261
6,12,8.597462859,24.94973483,1.291146992,2.324805163
7,12,8.578024484,24.93530121,1.286893037,2.321034807
8,12,8.581578679,24.91649439,1.285911809,2.32052178
9,12,8.569796699,24.90635953,1.284530897,2.320046031
