level,intensity,snnr mean,snnr std,sr mean,sr std,,,,,,mean possum,std possum,mean bird,std bird,mean cat,std cat
1,3,2.191241974,7.184871498,0.352187127,0.775821171,12.27598123,8.754598402,,1,3,11.64064482,8.303249672,,,,
2,3,2.16531785,7.063052171,0.350757401,0.772091886,12.5174265,9.163558122,,2,3,11.82827134,8.712196534,,,,
3,3,2.158810278,7.009311588,0.349219888,0.770816386,12.4592692,9.247558079,,3,3,11.78030794,8.832789809,,,,
4,3,2.13100019,6.938467577,0.345046237,0.767541033,12.45022726,9.332732451,,4,3,11.75769602,8.928883294,,,,
5,3,2.127841721,6.91830324,0.344537896,0.766553465,12.47471439,9.380081499,,5,3,11.77322921,8.99236301,,,,
6,3,2.124621501,6.900217448,0.34386781,0.765575194,12.40656811,9.376202135,,6,3,11.72811745,8.984370215,,,,
7,3,2.116850603,6.883389014,0.342227459,0.764337766,12.40524465,9.395224072,,7,3,11.73331555,9.005292404,,,,
8,3,2.069530157,6.817150559,0.335294608,0.760110482,12.10843459,9.58592462,,8,3,11.38438072,9.232278432,,,,
9,3,2.05281761,6.754493028,0.330037942,0.757613371,12.03070176,9.57710889,,9,3,11.31078794,9.220303148,,,,
1,5,3.087117775,9.965150653,0.563603005,0.9343055,11.64613961,7.444882231,,1,5,11.15547014,7.137127688,,,,
2,5,3.024679957,9.51432201,0.551776428,0.917275949,12.59703153,8.330418905,,2,5,12.01809628,7.922632462,,,,
3,5,2.983677562,9.193081693,0.538669961,0.904490859,12.77475998,8.5206548,,3,5,12.15635665,8.100723457,,,,
4,5,2.839945816,8.723549018,0.512931443,0.873591227,12.9662248,8.69942131,,4,5,12.3287366,8.184588917,,,,
5,5,2.815832728,8.563551983,0.507761743,0.865158762,13.12814009,8.765924577,,5,5,12.4025514,8.294936201,,,,
6,5,2.799059443,8.490220313,0.504825976,0.860633547,13.05971018,8.848544418,,6,5,12.39031311,8.402094186,,,,
7,5,2.764818138,8.426282452,0.499927725,0.854679358,13.11824574,8.88590692,,7,5,12.48858236,8.44816084,,,,
8,5,2.6339196,8.232710974,0.483815395,0.840166354,13.00044149,9.051818724,,8,5,12.33478226,8.637680081,,,,
9,5,2.628700148,8.12546461,0.47791946,0.83612217,12.93124387,9.072475344,,9,5,12.25571537,8.666846793,,,,
1,7,5.992754023,20.89068916,1.01554741,1.911925314,9.799336913,6.802677896,,1,7,9.366659456,6.679320101,,,,
2,7,4.152389877,13.18626332,0.789194238,1.181131168,11.55179825,7.859459528,,2,7,11.08868562,7.530400079,,,,
3,7,3.915212297,11.86293177,0.734358231,1.098190356,12.17585792,8.042169719,,3,7,11.66436465,7.582165777,,,,
4,7,3.721062164,10.93392269,0.684293268,1.0334926,12.57065189,8.087855518,,4,7,12.08048923,7.542099991,,,,
5,7,3.67038219,10.46856262,0.669285751,1.002243014,12.97628761,8.070046959,,5,7,12.44000554,7.566958621,,,,
6,7,3.535256944,10.13324386,0.651668196,0.973001121,12.98985677,8.270081037,,6,7,12.47326278,7.737882423,,,,
7,7,3.453763659,9.929412851,0.639393974,0.955927341,13.10597093,8.313441721,,7,7,12.5820879,7.760873858,,,,
8,7,3.274913567,9.656871116,0.619164855,0.932865332,13.12302718,8.440416649,,8,7,12.5942512,7.934519873,,,,
9,7,3.199863773,9.422768948,0.606624677,0.920682302,13.11327556,8.510182685,,9,7,12.53162226,8.030771159,,,,
