level,multi_res,full_res,scaled_possum,scaled_cat,scaled_bird
1,0.032835598,0.031005742,0.031293954,0.032131438,0.031817062
2,0.038711824,0.045509612,0.036413536,0.037618623,0.037229655
3,0.042004833,0.058082996,0.042796966,0.043204354,0.042740429
4,0.043155461,0.069532066,0.048478748,0.044605291,0.047686225
5,0.043765782,0.080661072,0.053606284,0.048303833,0.05006831
6,0.044101431,0.094276806,0.057019946,0.050619629,0.056787117
7,0.043683467,0.103575437,0.061688769,0.051525588,0.073972085
8,0.043231897,0.115169205,0.06639832,0.054729544,0.07727662
9,0.044004977,0.127146673,0.07016651,0.05770928,0.081767002
10,0.044249407,0.141763152,0.089489068,0.062248515,0.085663196
11,0.04351654,0.160995707,0.096544513,0.0788327,0.091064428
,,,,,
